date,latitude,longitude,daily_mean_dust,monthly_mean,above_monthly_avg
2024-10-15,16.0,53.125,2.5026945841666668e-08,3.6919232866132815e-08,False
2024-10-15,16.0,53.75,1.8435150805416668e-08,3.6606967026167446e-08,False
2024-10-15,16.0,54.375,1.9980609186416665e-08,3.718682161094375e-08,False
2024-10-15,16.0,55.0,2.438283903875e-08,4.095981022693333e-08,False
2024-10-15,16.0,55.625,2.635757457916667e-08,4.17233075322234e-08,False
2024-10-15,16.5,34.375,4.439668183333333e-08,1.7778229304296876e-07,False
2024-10-15,16.5,35.0,4.845848525e-08,1.1107606259739584e-07,False
2024-10-15,16.5,35.625,6.115563804166667e-08,9.003360378880208e-08,False
2024-10-15,16.5,36.25,7.9955802125e-08,9.421438619557292e-08,False
2024-10-15,16.5,36.875,6.5618982625e-08,8.50931167296875e-08,False
2024-10-15,16.5,37.5,3.8729696220833334e-08,5.2406469785677084e-08,False
2024-10-15,16.5,38.125,3.139875212916667e-08,3.7035697861458336e-08,False
2024-10-15,16.5,38.75,4.766298041666667e-08,5.418246302630208e-08,False
2024-10-15,16.5,39.375,6.043774308333333e-08,6.702491543854166e-08,False
2024-10-15,16.5,40.0,5.89473845e-08,7.106930693984375e-08,False
2024-10-15,16.5,40.625,6.478937225e-08,7.690628538619791e-08,False
2024-10-15,16.5,41.25,7.410259754166667e-08,7.526490900520833e-08,False
2024-10-15,16.5,41.875,8.484554904166667e-08,8.3354015465625e-08,True
2024-10-15,16.5,42.5,9.474267037500001e-08,9.623426984635417e-08,False
2024-10-15,16.5,43.125,8.899587654166666e-08,1.044069797265625e-07,False
2024-10-15,16.5,43.75,5.683796283333334e-08,6.64959340234375e-08,False
2024-10-15,16.5,44.375,6.944143629166666e-08,7.041421022864583e-08,False
2024-10-15,16.5,45.0,9.089126408333333e-08,9.133098489765625e-08,False
2024-10-15,16.5,45.625,1.1280523462499999e-07,1.1317876462135416e-07,False
2024-10-15,16.5,46.25,1.25921361625e-07,1.2495603666796875e-07,True
2024-10-15,16.5,46.875,1.27629999e-07,1.1883133344192708e-07,True
2024-10-15,16.5,47.5,1.2486634779166668e-07,1.0147560234661458e-07,True
2024-10-15,16.5,48.125,1.308678e-07,9.0502733559375e-08,True
2024-10-15,16.5,48.75,1.4796751295833334e-07,9.506064252604166e-08,True
2024-10-15,16.5,49.375,1.5693998241666667e-07,9.824165732291666e-08,True
2024-10-15,16.5,50.0,1.5280238733333335e-07,9.841419596744792e-08,True
2024-10-15,16.5,50.625,1.45953284375e-07,9.626684571927083e-08,True
2024-10-15,16.5,51.25,1.2481420354166665e-07,9.138090292291666e-08,True
2024-10-15,16.5,51.875,1.1278825833333333e-07,8.483950907864583e-08,True
2024-10-15,16.5,52.5,7.743923104166668e-08,5.708344807135417e-08,True
2024-10-15,16.5,53.125,4.780395170833334e-08,4.576905195903646e-08,True
2024-10-15,16.5,53.75,2.1214609441666665e-08,3.9488176649921875e-08,False
2024-10-15,16.5,54.375,1.86478352875e-08,3.7974466769633726e-08,False
2024-10-15,16.5,55.0,2.5609098424999998e-08,4.021868495652995e-08,False
2024-10-15,16.5,55.625,3.5261110583333336e-08,3.847447092780198e-08,False
2024-10-15,17.0,34.375,5.0252311541666666e-08,2.3807491844791667e-07,False
2024-10-15,17.0,35.0,6.301040029166666e-08,1.4585316948541667e-07,False
2024-10-15,17.0,35.625,7.698812183333333e-08,1.0391961603463542e-07,False
2024-10-15,17.0,36.25,8.281889179166668e-08,1.004202096248698e-07,False
2024-10-15,17.0,36.875,8.073251041666667e-08,1.0473384223932291e-07,False
2024-10-15,17.0,37.5,5.957357125e-08,7.532067006979167e-08,False
2024-10-15,17.0,38.125,4.3255265916666667e-08,4.73704969609375e-08,False
2024-10-15,17.0,38.75,5.924024070833333e-08,6.831481920052083e-08,False
2024-10-15,17.0,39.375,6.503129758333333e-08,7.734605893723958e-08,False
2024-10-15,17.0,40.0,5.9075320166666664e-08,7.989401324218749e-08,False
